epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,456.919,2.94512,0.84667,1.60324,0.85576,0.8882,0.95099,0.77372,1.30916,0.72668,1.62243,6.65339e-05,6.65339e-05,6.65339e-05
81,462.387,2.9115,0.83056,1.57676,0.89896,0.908,0.95645,0.78244,1.28038,0.67553,1.60467,6.57963e-05,6.57963e-05,6.57963e-05
82,468.271,2.78904,0.82618,1.60103,0.89973,0.91221,0.9579,0.78959,nan,nan,nan,6.5055e-05,6.5055e-05,6.5055e-05
83,474.174,2.89005,0.84057,1.57381,0.88387,0.90695,0.95439,0.78695,1.26214,0.6777,1.60259,6.43101e-05,6.43101e-05,6.43101e-05
84,479.895,2.86362,0.81904,1.58218,0.90221,0.91454,0.95978,0.78353,1.29459,0.63844,1.6023,6.35617e-05,6.35617e-05,6.35617e-05
85,485.451,2.73931,0.83094,1.5732,0.88411,0.92005,0.95758,0.78339,1.27145,0.64283,1.59107,6.28101e-05,6.28101e-05,6.28101e-05
86,491.254,2.82392,0.83559,1.56619,0.88974,0.91092,0.95681,0.78534,1.23813,0.6625,1.58334,6.20555e-05,6.20555e-05,6.20555e-05
87,497.051,2.52876,0.81036,1.6079,0.90855,0.91335,0.95803,0.78766,1.22821,0.64507,1.57775,6.12981e-05,6.12981e-05,6.12981e-05
88,502.804,2.71294,0.81769,1.56946,0.90398,0.92221,0.96149,0.79332,1.25955,0.66749,1.58698,6.0538e-05,6.0538e-05,6.0538e-05
89,508.564,2.67386,0.80328,1.56044,0.88193,0.91716,0.95927,0.79044,1.25373,0.6758,1.58329,5.97754e-05,5.97754e-05,5.97754e-05
90,514.197,2.63651,0.7958,1.54584,0.88751,0.91547,0.96021,0.79304,1.24021,0.6809,1.57201,5.90105e-05,5.90105e-05,5.90105e-05
91,519.767,2.75005,0.80728,1.55428,0.89749,0.91508,0.96032,0.78975,1.21752,0.66092,1.5582,5.82435e-05,5.82435e-05,5.82435e-05
92,525.305,2.69054,0.80312,1.54108,0.90263,0.92302,0.95891,0.79142,1.18902,0.63971,1.54201,5.74746e-05,5.74746e-05,5.74746e-05
93,530.875,2.59318,0.80202,1.55597,0.91167,0.92571,0.96404,0.79441,1.23149,0.6353,1.55177,5.6704e-05,5.6704e-05,5.6704e-05
94,536.56,2.5697,0.81474,1.54916,0.90744,0.92788,0.96234,0.79072,1.21248,0.62851,1.53994,5.59318e-05,5.59318e-05,5.59318e-05
95,542.08,2.59692,0.79696,1.54484,0.90073,0.92185,0.95814,0.78652,1.21763,0.64088,1.54103,5.51584e-05,5.51584e-05,5.51584e-05
96,547.574,2.54629,0.79226,1.53498,0.90871,0.92505,0.96319,0.80052,1.19818,0.63818,1.54619,5.43837e-05,5.43837e-05,5.43837e-05
97,553.624,2.59541,0.80316,1.52996,0.89417,0.91825,0.96099,0.79636,1.19898,0.6586,1.54302,5.36081e-05,5.36081e-05,5.36081e-05
98,559.665,2.89672,0.80366,1.49868,0.88704,0.91857,0.95936,0.79608,1.19119,0.66199,1.52751,5.28318e-05,5.28318e-05,5.28318e-05
99,565.601,2.63108,0.78487,1.51631,0.90881,0.92886,0.96496,0.80058,1.22395,0.64127,1.53641,5.20548e-05,5.20548e-05,5.20548e-05
100,571.631,2.78374,0.79573,1.50009,0.90689,0.92472,0.96313,0.79143,1.2293,0.63156,1.53444,5.12775e-05,5.12775e-05,5.12775e-05
101,577.307,2.54891,0.78235,1.50626,0.91161,0.92344,0.96283,0.79461,1.19327,0.60327,1.52389,5.05e-05,5.05e-05,5.05e-05
102,583.113,2.67147,0.77776,1.49581,0.89095,0.91999,0.96286,0.79609,1.2027,0.66291,1.51931,4.97225e-05,4.97225e-05,4.97225e-05
103,588.897,2.44915,0.7688,1.50826,0.87873,0.90503,0.9605,0.79413,1.19536,0.68135,1.51294,4.89452e-05,4.89452e-05,4.89452e-05
104,594.909,2.68037,0.77985,1.49729,0.90842,0.92745,0.96338,0.79953,1.17722,0.61558,1.51281,4.81682e-05,4.81682e-05,4.81682e-05
105,600.691,2.5724,0.77282,1.50934,0.91297,0.92778,0.96399,0.79815,1.19674,0.62942,1.51604,4.73919e-05,4.73919e-05,4.73919e-05
106,606.619,2.56516,0.76906,1.4907,0.9233,0.92431,0.96493,0.80243,1.16206,0.60764,1.50116,4.66163e-05,4.66163e-05,4.66163e-05
107,612.57,2.5408,0.78487,1.48519,0.91691,0.9268,0.96443,0.80189,1.15028,0.61329,1.49711,4.58416e-05,4.58416e-05,4.58416e-05
108,618.21,2.52969,0.77008,1.48528,0.91935,0.92168,0.96414,0.80464,1.14234,0.60325,1.49232,4.50682e-05,4.50682e-05,4.50682e-05
109,623.784,2.49279,0.77536,1.47622,0.91192,0.92292,0.9632,0.80071,1.18773,0.63476,1.49655,4.4296e-05,4.4296e-05,4.4296e-05
110,629.671,2.47046,0.77914,1.47316,0.89188,0.90895,0.9596,0.79697,1.188,0.68182,1.49139,4.35254e-05,4.35254e-05,4.35254e-05
111,635.518,2.59139,0.76525,1.45988,0.9179,0.92694,0.96391,0.79831,1.15114,0.6034,1.47745,4.27565e-05,4.27565e-05,4.27565e-05
112,641.368,2.45088,0.76246,1.46688,0.91745,0.92945,0.96525,0.80552,1.13458,0.60116,1.47539,4.19895e-05,4.19895e-05,4.19895e-05
113,647.408,2.52392,0.75774,1.45373,0.9175,0.92594,0.9646,0.80135,1.15002,0.61707,1.47645,4.12246e-05,4.12246e-05,4.12246e-05
114,653.069,2.52091,0.76773,1.44825,0.91943,0.92168,0.96427,0.80063,1.14095,0.60711,1.4672,4.0462e-05,4.0462e-05,4.0462e-05
115,659.065,2.46521,0.74309,1.4759,0.9202,0.92277,0.96437,0.79834,1.14875,0.60743,1.47151,3.97019e-05,3.97019e-05,3.97019e-05
116,664.729,2.54627,0.75169,1.45335,0.90916,0.93231,0.96421,0.80104,1.1458,0.62205,1.47131,3.89445e-05,3.89445e-05,3.89445e-05
117,670.719,2.49598,0.76385,1.45148,0.91686,0.93322,0.96438,0.80634,1.12104,0.61713,1.46326,3.81899e-05,3.81899e-05,3.81899e-05
118,675.49,2.31106,0.75874,1.45467,0.92486,0.92887,0.96556,0.80106,1.12262,0.59432,1.45489,3.74383e-05,3.74383e-05,3.74383e-05
119,679.81,2.30752,0.75016,1.48019,0.92796,0.92579,0.9659,0.80601,1.11425,0.59656,1.45685,3.66899e-05,3.66899e-05,3.66899e-05
120,684.664,2.55491,0.7651,1.43476,0.91665,0.92435,0.96426,0.79971,1.12432,0.62189,1.45598,3.5945e-05,3.5945e-05,3.5945e-05
121,690.499,2.48811,0.75066,1.43642,0.89754,0.91427,0.96072,0.79978,1.1285,0.64331,1.45363,3.52037e-05,3.52037e-05,3.52037e-05
122,696.047,2.32937,0.7405,1.4434,0.91374,0.92889,0.96408,0.80114,1.14216,0.60733,1.45527,3.44661e-05,3.44661e-05,3.44661e-05
