epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,279.303,3.57695,0.85774,0.85471,0.81503,0.87579,0.93254,0.73992,2.08698,0.72861,0.83323,5.51584e-05,5.51584e-05,5.51584e-05
96,282.455,3.52713,0.84174,0.85462,0.81281,0.87722,0.93393,0.75457,2.01974,0.73873,0.8316,5.43837e-05,5.43837e-05,5.43837e-05
97,285.606,3.68611,0.85349,0.85484,0.75075,0.87815,0.93119,0.74679,2.08759,0.80334,0.83226,5.36081e-05,5.36081e-05,5.36081e-05
98,288.712,3.87919,0.85882,0.85202,0.74746,0.87932,0.93044,0.75062,2.034,0.80722,0.8331,5.28318e-05,5.28318e-05,5.28318e-05
99,291.809,3.65102,0.83432,0.8522,0.79737,0.87882,0.93141,0.75174,2.00606,0.74558,0.83318,5.20548e-05,5.20548e-05,5.20548e-05
100,294.832,3.75305,0.84353,0.85213,0.82219,0.87255,0.93667,0.75871,1.98976,0.72891,0.83085,5.12775e-05,5.12775e-05,5.12775e-05
101,297.919,3.60709,0.83851,0.85279,0.83167,0.86707,0.93344,0.74381,2.05559,0.72039,0.8331,5.05e-05,5.05e-05,5.05e-05
102,300.961,3.76488,0.8455,0.85298,0.82917,0.86456,0.93212,0.74541,2.02831,0.71582,0.83297,4.97225e-05,4.97225e-05,4.97225e-05
103,303.941,3.49429,0.82674,0.85286,0.78223,0.87624,0.93132,0.75445,1.98988,0.75504,0.82946,4.89452e-05,4.89452e-05,4.89452e-05
104,306.973,3.72567,0.83635,0.85278,0.84577,0.85916,0.93622,0.74975,2.02568,0.70773,0.83063,4.81682e-05,4.81682e-05,4.81682e-05
105,309.987,3.5461,0.8238,0.85343,0.86029,0.88035,0.93587,0.7564,1.99183,0.66809,0.8306,4.73919e-05,4.73919e-05,4.73919e-05
106,313.033,3.56619,0.82602,0.84967,0.85737,0.85952,0.935,0.746,2.05483,0.70112,0.83145,4.66163e-05,4.66163e-05,4.66163e-05
107,316.067,3.53569,0.83701,0.85098,0.79843,0.8618,0.92978,0.74982,1.99271,0.74142,0.82912,4.58416e-05,4.58416e-05,4.58416e-05
108,319.083,3.51525,0.82909,0.85072,0.7983,0.85587,0.92844,0.75538,1.95552,0.73988,0.8274,4.50682e-05,4.50682e-05,4.50682e-05
109,322.095,3.54825,0.83105,0.84899,0.8566,0.88716,0.93807,0.74759,2.02576,0.67457,0.82939,4.4296e-05,4.4296e-05,4.4296e-05
110,325.355,3.51622,0.82352,0.84932,0.86119,0.88798,0.94,0.7624,1.94674,0.66146,0.82867,4.35254e-05,4.35254e-05,4.35254e-05
111,328.514,3.66368,0.82765,0.8478,0.85265,0.87845,0.93812,0.75678,1.963,0.67787,0.82904,4.27565e-05,4.27565e-05,4.27565e-05
