epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,291.159,8.50664,1.30749,2.10779,0.65312,0.83007,0.7813,0.47709,4.97443,1.1907,2.22595,7.29725e-05,7.29725e-05,7.29725e-05
72,295.558,8.67846,1.31181,2.09834,0.6472,0.83688,0.77789,0.46418,5.28193,1.22643,2.23505,7.2277e-05,7.2277e-05,7.2277e-05
73,299.905,8.21727,1.29265,2.12503,0.66505,0.82814,0.77997,0.47972,4.78344,1.16202,2.20907,7.15761e-05,7.15761e-05,7.15761e-05
74,304.46,8.07476,1.28381,2.1058,0.67722,0.81627,0.79002,0.48664,4.57859,1.13894,2.18796,7.087e-05,7.087e-05,7.087e-05
75,308.832,7.96692,1.27768,2.08001,0.68412,0.81735,0.79289,0.48342,4.84873,1.12317,2.20244,7.01588e-05,7.01588e-05,7.01588e-05
76,313.187,8.25832,1.27602,2.06001,0.67463,0.82107,0.78806,0.4674,4.979,1.14474,2.20817,6.94428e-05,6.94428e-05,6.94428e-05
77,317.501,7.66831,1.25745,2.11038,0.67149,0.82918,0.79004,0.49249,4.47914,1.1628,2.17757,6.87222e-05,6.87222e-05,6.87222e-05
78,321.823,8.04521,1.26401,2.01992,0.68438,0.82898,0.80012,0.49851,4.46603,1.12582,2.16392,6.7997e-05,6.7997e-05,6.7997e-05
79,326.157,7.68112,1.25559,2.06983,0.67527,0.84062,0.7979,0.49636,4.42406,1.08626,2.16614,6.72675e-05,6.72675e-05,6.72675e-05
80,330.608,7.7842,1.25091,2.0481,0.67331,0.84954,0.79641,0.49257,4.5397,1.10547,2.16275,6.65339e-05,6.65339e-05,6.65339e-05
81,334.978,7.66422,1.24328,2.02433,0.67457,0.84171,0.8021,0.5021,4.40871,1.12685,2.15368,6.57963e-05,6.57963e-05,6.57963e-05
82,339.382,7.4325,1.25249,2.03865,0.678,0.83671,0.79898,0.508,4.18056,1.11911,2.14088,6.5055e-05,6.5055e-05,6.5055e-05
83,343.766,7.62126,1.25663,2.00443,0.68111,0.83134,0.79442,0.50046,4.36092,1.12449,2.14314,6.43101e-05,6.43101e-05,6.43101e-05
84,348.247,7.53139,1.24083,2.01425,0.68768,0.83452,0.80389,0.50502,4.40729,1.11566,2.13996,6.35617e-05,6.35617e-05,6.35617e-05
85,352.619,7.17272,1.24034,2.00333,0.68826,0.83416,0.80867,0.51966,4.06368,1.10991,2.11881,6.28101e-05,6.28101e-05,6.28101e-05
86,357.022,7.30497,1.2368,1.98921,0.68996,0.82373,0.80879,0.52243,4.05674,1.12156,2.10983,6.20555e-05,6.20555e-05,6.20555e-05
87,361.306,6.67332,1.19937,2.04463,0.67954,0.82868,0.80837,0.5157,4.11946,1.12779,2.10117,6.12981e-05,6.12981e-05,6.12981e-05
88,365.605,7.09234,1.22404,1.99137,0.67395,0.83652,0.80885,0.52253,3.95793,1.13562,2.09309,6.0538e-05,6.0538e-05,6.0538e-05
89,369.982,6.92434,1.21025,1.98207,0.6857,0.83519,0.81464,0.52411,4.0098,1.13366,2.09594,5.97754e-05,5.97754e-05,5.97754e-05
90,374.312,6.87621,1.20666,1.97439,0.69792,0.83101,0.81786,0.52831,3.9755,1.10407,2.08534,5.90105e-05,5.90105e-05,5.90105e-05
91,378.652,6.93767,1.20044,1.9663,0.70174,0.82885,0.81938,0.53119,3.90526,1.08534,2.07366,5.82435e-05,5.82435e-05,5.82435e-05
92,383.025,6.76419,1.19684,1.96329,0.70179,0.83392,0.82116,0.5307,3.89679,1.08477,2.072,5.74746e-05,5.74746e-05,5.74746e-05
93,387.368,6.54246,1.2128,1.98036,0.70592,0.83846,0.82577,0.54039,3.72055,1.06421,2.06897,5.6704e-05,5.6704e-05,5.6704e-05
94,391.668,6.3965,1.19034,1.9789,0.71108,0.83684,0.82859,0.54573,3.61759,1.06981,2.05071,5.59318e-05,5.59318e-05,5.59318e-05
95,396.128,6.51857,1.19416,1.95969,0.69352,0.83748,0.82462,0.53467,3.80694,1.12119,2.04895,5.51584e-05,5.51584e-05,5.51584e-05
96,400.386,6.27396,1.18091,1.95343,0.70778,0.84219,0.82976,0.54608,3.64729,1.06909,2.04526,5.43837e-05,5.43837e-05,5.43837e-05
97,404.828,6.50172,1.18753,1.94388,0.70782,0.84455,0.82648,0.54085,3.6837,1.05406,2.04779,5.36081e-05,5.36081e-05,5.36081e-05
98,409.369,6.77951,1.19672,1.91369,0.70324,0.84048,0.82324,0.53741,3.73242,1.09573,2.0412,5.28318e-05,5.28318e-05,5.28318e-05
99,413.126,6.40974,1.18145,1.92623,0.70947,0.83646,0.83148,0.54239,3.75613,1.09193,2.03685,5.20548e-05,5.20548e-05,5.20548e-05
100,416.727,6.64547,1.18521,1.91366,0.71854,0.84088,0.8396,0.56374,3.43914,1.04261,2.0199,5.12775e-05,5.12775e-05,5.12775e-05
101,421.012,6.25304,1.1685,1.91459,0.71992,0.83841,0.83714,0.55854,3.4887,1.04706,2.01926,5.05e-05,5.05e-05,5.05e-05
102,425.429,6.42157,1.17338,1.89986,0.71162,0.83949,0.83233,0.53854,3.75174,1.07902,2.02794,4.97225e-05,4.97225e-05,4.97225e-05
103,429.772,6.01246,1.15342,1.92388,0.71675,0.83793,0.8335,0.54887,3.55063,1.05801,2.00959,4.89452e-05,4.89452e-05,4.89452e-05
